                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.815,                 2.5747,                 1.9075,                0.23173,                   0.36,                 0.2449,                0.07239,                 2.2528,                 3.4838,                 2.2043,             0.00066154,             0.00066154,             0.00066154
                      2,                 1.8126,                  2.274,                 1.9254,                0.18312,                0.27803,                0.11935,                0.03862,                 2.6702,                 3.3584,                 2.5305,              0.0013019,              0.0013019,              0.0013019
                      3,                 1.8269,                 2.1926,                 1.9239,                      1,                0.15598,                0.25833,                0.11154,                 2.3392,                 3.6172,                 2.3222,              0.0019159,              0.0019159,              0.0019159
                      4,                 1.8185,                 2.1489,                 1.9244,                0.57001,                    0.2,                0.24372,                0.09457,                 2.4691,                 3.0826,                 2.6625,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.7742,                 2.0564,                  1.897,                0.59145,                0.46376,                0.41591,                0.16558,                 2.2148,                 2.2652,                 2.1808,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.7809,                 2.0115,                 1.8779,                0.68344,                   0.64,                0.58732,                0.19302,                  2.331,                 2.3382,                  2.248,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.6967,                 1.9007,                 1.8137,                0.66379,                0.39517,                0.55504,                0.22322,                 2.2235,                 2.1638,                 2.1771,               0.001802,               0.001802,               0.001802
                      8,                 1.6948,                 1.8934,                   1.82,                0.70352,                0.66481,                0.68652,                0.27463,                 2.0004,                 1.8003,                 1.9202,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.6798,                 1.8347,                  1.803,                0.76782,                    0.6,                0.60208,                0.24971,                 2.1907,                 2.1002,                  2.152,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.6716,                 1.8057,                 1.7805,                0.56253,                   0.44,                0.43806,                0.19729,                 2.0819,                 2.6328,                 2.0434,              0.0016832,              0.0016832,              0.0016832
                     11,                  1.644,                 1.7538,                  1.768,                0.46394,                   0.56,                0.43625,                0.14967,                 2.1523,                 2.4702,                 2.1546,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.6308,                 1.7367,                 1.7617,                0.69201,                   0.72,                0.66588,                0.20414,                 2.3653,                  1.748,                 2.2611,               0.001604,               0.001604,               0.001604
                     13,                 1.6149,                 1.7009,                 1.7548,                0.72278,                   0.64,                 0.6605,                0.25594,                 2.1069,                 1.8311,                 2.0766,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.6078,                  1.672,                 1.7324,                0.87356,                   0.56,                0.65039,                0.23729,                 2.2976,                 1.9884,                  2.217,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.5944,                 1.6233,                 1.7287,                0.60294,                0.48618,                 0.6019,                0.30046,                 2.0403,                  1.686,                  1.947,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.5736,                 1.6537,                 1.7202,                0.83984,                   0.68,                0.74019,                  0.239,                 2.3727,                 1.7603,                 2.2123,              0.0014456,              0.0014456,              0.0014456
                     17,                  1.579,                 1.6197,                 1.7178,                0.80698,                   0.72,                0.70811,                0.24351,                 2.1703,                 1.6034,                 2.0807,               0.001406,               0.001406,               0.001406
                     18,                 1.5921,                 1.6067,                 1.7129,                0.95184,                   0.56,                0.70934,                0.18597,                 2.4814,                 1.8186,                 2.3941,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.5861,                 1.6108,                 1.7121,                0.82286,                   0.44,                0.50275,                0.23084,                 2.0376,                 2.7762,                  1.945,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.5709,                 1.5512,                 1.7022,                      1,                0.47868,                0.64803,                0.26693,                 2.0356,                 1.7781,                 1.9351,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.5553,                 1.5532,                 1.6863,                0.64755,                   0.72,                0.64227,                0.22802,                 2.2723,                  2.462,                 2.2409,              0.0012476,              0.0012476,              0.0012476
